gratuit,nom_station,x,y
false,SmiléMobi Station de recharge,47.49521939200708, -0.5661913500010508
false,Electrique Véhicule Station de Recharge,47.462777367749815, -0.6134028163976812
true,SmiléMobi Charging Station,47.47989268470305, -0.5644793245201025
false,SmiléMobi Charging Station,47.47461363921363, -0.5661959383470736
true,SmiléMobi Charging Station,47.47536782105485, -0.5627627106728589
false,SIE Maine et Loire Station de recharge,47.4767021162532, -0.5589861603697539
true,SmiléMobi Station de recharge,47.47571590132617, -0.5542654723177085
false,SmiléMobi Charging Station,47.481748926373484, -0.5435366363088205
false,SmiléMobi Charging Station,47.47850046047986, -0.5490298005875641
false,SmiléMobi Station de recharge,47.47548384801778, -0.5516905520350806
true,SmiléMobi Charging Station,47.47513576620468, -0.5474848481341674
false,Station de Recharge Véhicules Électriques,47.47165482117352, -0.5516905520181866
true,SmiléMobi Charging Station,47.47066851151817, -0.5560679173028105
false,SmiléMobi Charging Station,47.469566143527885, -0.5592436529014592
false,Station de recharge pour véhicules électriques,47.46562063705053, -0.5593294835933145
false,SmiléMobi Charging Station,47.47496172435005, -0.5479998322684058
true,SmiléMobi Charging Station,47.48140088598003, -0.5413908689955422
false,SmiléMobi Charging Station,47.466374947951465, -0.5535788272390048
true,REVEO Charging Station,47.46463421415489, -0.5526346896285957
false,SmiléMobi Charging Station,47.46979822292102, -0.5396742551584348
false,SmiléMobi Charging Station,47.461714951875344, -0.5366148497554527